application_id,applicant_age,annual_income,credit_utilization,delinquencies_2y,credit_score,employment_type
APP-43-000000,32,63216.85,0.6731,1,601,salaried
APP-43-000001,44,80257.71,0.377,2,598,salaried
APP-43-000002,23,40053.0,0.2387,1,670,salaried
APP-43-000003,63,33531.14,0.5472,1,588,salaried
APP-43-000004,68,18480.82,0.2853,0,638,contract
APP-43-000005,33,94314.73,0.6922,0,612,salaried
APP-43-000006,26,55779.49,0.2836,1,660,salaried
APP-43-000007,55,61892.37,0.3401,1,628,salaried
APP-43-000008,49,35919.04,0.5056,1,617,contract
APP-43-000009,21,108507.43,0.2821,0,665,salaried
APP-43-000010,68,92851.83,0.2626,0,651,salaried
APP-43-000011,40,51688.82,0.4548,1,627,self_employed
APP-43-000012,40,40711.88,0.4059,0,649,contract
APP-43-000013,30,45425.08,0.3363,4,532,salaried
APP-43-000014,42,35623.33,0.4994,0,669,self_employed
APP-43-000015,71,56084.25,0.4973,2,637,contract
APP-43-000016,34,39383.72,0.2142,0,670,self_employed
APP-43-000017,68,76271.02,0.2316,0,692,contract
APP-43-000018,70,45355.75,0.3715,2,615,salaried
APP-43-000019,49,45493.45,0.4873,0,656,salaried
APP-43-000020,54,128732.15,0.1897,1,678,salaried
APP-43-000021,50,37080.79,0.5423,1,598,self_employed
APP-43-000022,36,23333.52,0.3502,1,645,salaried
APP-43-000023,75,67603.72,0.5528,0,665,salaried
APP-43-000024,22,17626.74,0.1562,1,685,contract
APP-43-000025,21,63921.32,0.4438,0,682,salaried
APP-43-000026,45,94839.96,0.4888,2,639,salaried
APP-43-000027,44,57443.85,0.6422,0,634,contract
APP-43-000028,22,55553.47,0.3801,1,603,salaried
APP-43-000029,70,17893.0,0.6561,0,633,self_employed
APP-43-000030,68,75013.02,0.2116,2,656,contract
APP-43-000031,70,68731.36,0.5204,0,655,salaried
APP-43-000032,72,29010.16,0.4915,1,600,salaried
APP-43-000033,35,158299.47,0.5446,2,613,salaried
APP-43-000034,75,28191.93,0.3057,2,604,salaried
APP-43-000035,60,21947.1,0.2543,0,682,self_employed
APP-43-000036,50,20412.82,0.5653,0,680,contract
APP-43-000037,56,56065.95,0.2374,1,619,self_employed
APP-43-000038,51,66558.01,0.5497,0,617,contract
APP-43-000039,53,70441.34,0.4713,1,621,salaried
APP-43-000040,62,45910.63,0.4624,0,674,self_employed
APP-43-000041,45,35349.12,0.2969,1,731,self_employed
APP-43-000042,69,87861.81,0.1658,1,667,salaried
APP-43-000043,33,33736.24,0.7156,0,612,salaried
APP-43-000044,25,28412.6,0.2476,0,658,contract
APP-43-000045,60,119458.42,0.2619,3,555,salaried
APP-43-000046,74,60941.17,0.1109,1,660,salaried
APP-43-000047,50,71625.72,0.6041,2,589,self_employed
APP-43-000048,57,77980.37,0.3613,2,652,salaried
APP-43-000049,22,40356.65,0.5864,2,529,salaried
APP-43-000050,59,41230.17,0.1369,0,672,salaried
APP-43-000051,57,78615.17,0.5438,1,616,salaried
APP-43-000052,50,39362.42,0.167,0,636,self_employed
APP-43-000053,30,66490.3,0.5148,2,630,salaried
APP-43-000054,68,52617.14,0.4094,2,612,self_employed
APP-43-000055,42,28656.93,0.8732,1,589,salaried
APP-43-000056,42,94043.71,0.2951,0,652,contract
APP-43-000057,29,27196.7,0.4915,1,606,salaried
APP-43-000058,39,62826.35,0.2781,0,613,salaried
APP-43-000059,65,57345.04,0.2094,0,686,salaried
APP-43-000060,22,110927.95,0.1709,0,700,salaried
APP-43-000061,35,29857.94,0.2407,1,661,salaried
APP-43-000062,73,40996.49,0.2115,0,643,self_employed
APP-43-000063,36,52304.17,0.5629,1,589,salaried
APP-43-000064,27,61051.06,0.2744,1,605,self_employed
APP-43-000065,29,89112.19,0.6753,0,606,salaried
APP-43-000066,73,65585.13,0.238,1,684,contract
APP-43-000067,47,56031.72,0.5656,0,643,salaried
APP-43-000068,53,97303.07,0.6083,0,600,salaried
APP-43-000069,32,175051.4,0.647,1,556,salaried
APP-43-000070,22,26224.81,0.6176,0,626,contract
APP-43-000071,56,55096.38,0.5456,1,622,salaried
