application_id,applicant_age,annual_income,credit_utilization,delinquencies_2y,credit_score,employment_type
APP-42-000000,42,57964.98,0.3368,2,641,salaried
APP-42-000001,43,27667.36,0.0741,0,633,self_employed
APP-42-000002,70,74068.69,0.1191,2,664,self_employed
APP-42-000003,51,82232.89,0.2549,0,650,salaried
APP-42-000004,29,16763.02,0.2031,0,677,salaried
APP-42-000005,60,23951.86,0.2932,0,625,contract
APP-42-000006,53,52591.63,0.3125,0,691,salaried
APP-42-000007,48,41194.77,0.7306,0,641,salaried
APP-42-000008,60,48569.9,0.0876,1,689,salaried
APP-42-000009,70,30663.42,0.4453,1,578,salaried
APP-42-000010,39,79512.45,0.0648,0,706,self_employed
APP-42-000011,44,75190.91,0.3496,1,643,self_employed
APP-42-000012,31,50833.81,0.7216,0,562,salaried
APP-42-000013,56,91124.56,0.7139,1,589,self_employed
APP-42-000014,43,63394.36,0.5748,1,616,salaried
APP-42-000015,39,30558.22,0.3761,0,662,salaried
APP-42-000016,59,60042.8,0.2387,0,668,salaried
APP-42-000017,43,28929.43,0.3501,0,658,contract
APP-42-000018,46,79471.02,0.3843,0,687,salaried
APP-42-000019,45,47693.04,0.1667,0,705,salaried
APP-42-000020,35,44281.65,0.1664,0,591,salaried
APP-42-000021,27,33707.94,0.4192,1,615,self_employed
APP-42-000022,66,96028.25,0.5786,0,619,salaried
APP-42-000023,26,45026.6,0.3673,1,581,salaried
APP-42-000024,38,38731.93,0.1559,0,675,self_employed
APP-42-000025,57,40389.56,0.2336,2,662,salaried
APP-42-000026,28,65694.47,0.0365,1,637,salaried
APP-42-000027,57,59933.7,0.433,0,650,salaried
APP-42-000028,61,61512.95,0.1992,1,623,salaried
APP-42-000029,57,62127.97,0.3007,1,619,salaried
APP-42-000030,37,159198.35,0.4129,1,666,self_employed
APP-42-000031,22,39201.56,0.3606,0,633,self_employed
APP-42-000032,69,36984.96,0.2392,0,675,self_employed
APP-42-000033,38,31332.93,0.4138,0,590,contract
APP-42-000034,65,68788.28,0.1729,1,704,salaried
APP-42-000035,31,91211.36,0.2524,0,678,salaried
APP-42-000036,29,46042.9,0.2834,0,652,contract
APP-42-000037,63,30881.54,0.3,0,672,salaried
APP-42-000038,72,31148.93,0.2504,1,604,self_employed
APP-42-000039,68,70110.37,0.3382,1,666,self_employed
APP-42-000040,62,73776.08,0.3032,0,646,salaried
APP-42-000041,34,66087.5,0.2389,0,657,salaried
APP-42-000042,71,33995.03,0.0833,0,667,salaried
APP-42-000043,57,55697.4,0.1279,3,605,salaried
APP-42-000044,30,52269.96,0.4004,0,663,salaried
APP-42-000045,28,55286.21,0.8343,0,601,salaried
APP-42-000046,68,79164.7,0.143,0,692,self_employed
APP-42-000047,36,55435.62,0.1731,1,652,contract
APP-42-000048,63,71210.99,0.3689,0,662,self_employed
APP-42-000049,28,50877.11,0.3501,1,620,salaried
