customer_id,age,income,tenure_months,region,plan_type,monthly_usage,support_tickets,churn
2001,35,73000,29,North,plus,428.2,1,0
2002,46,100000,53,West,enterprise,851.9,0,0
2003,28,51000,11,South,basic,211.4,4,1
2004,40,83000,38,East,plus,535.2,1,0
2005,53,124000,75,West,enterprise,978.5,0,0
2006,24,41000,5,North,basic,121.8,5,1
2007,32,67000,21,South,plus,409.7,2,0
2008,45,94000,47,East,enterprise,743.0,1,0
2009,37,78000,30,North,plus,479.1,2,0
2010,27,49000,8,West,basic,160.3,5,1
2011,48,106000,58,South,enterprise,834.7,0,0
2012,34,,25,East,plus,402.2,1,0
2013,42,87000,40,North,plus,1200.0,2,0
2014,23,39000,4,South,basic,99.5,6,1
2015,51,117000,70,West,enterprise,921.4,0,0
2016,38,80000,34,East,plus,493.8,1,0
2017,29,59000,15,North,basic,228.9,3,1
2018,46,97000,52,South,enterprise,777.6,0,0
2019,36,75000,27,West,plus,448.6,1,0
2020,26,47000,6,East,basic,139.2,4,1

