customer_id,age,income,tenure_months,region,plan_type,monthly_usage,support_tickets,churn
1001,34,72000,28,North,plus,412.4,1,0
1002,45,98000,51,West,enterprise,822.8,0,0
1003,29,54000,14,South,basic,193.1,3,1
1004,39,81000,37,East,plus,501.7,1,0
1005,52,120000,73,West,enterprise,934.2,0,0
1006,26,48000,9,North,basic,142.5,4,1
1007,31,66000,22,South,plus,377.9,1,0
1008,43,91000,44,East,enterprise,711.3,0,0
1009,36,76000,31,North,plus,455.0,2,0
1010,28,52000,12,West,basic,185.9,3,1
1011,47,103000,56,South,enterprise,801.6,0,0
1012,33,69000,24,East,plus,395.4,1,0
1013,41,85000,39,North,plus,548.8,2,0
1014,25,44000,7,South,basic,132.7,4,1
1015,50,115000,68,West,enterprise,899.9,0,0
1016,37,79000,33,East,plus,476.2,1,0
1017,30,61000,18,North,basic,244.6,2,1
1018,44,95000,49,South,enterprise,756.1,0,0
1019,35,74000,29,West,plus,429.3,1,0
1020,27,50000,10,East,basic,169.4,3,1

